,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
ABQ_FY_S_02,19.67777592,3.929239034,-1.594640988,-3.044062352,-1.138274364,-5.3253009,1.621488617,-0.094786135,-0.150861591,-0.348603037,-1.379237867,1.321648588,-6.121450349,0.248216538,0.108010912,0.367691144,0.583357152,-1.910487544,0.946224582,0.094744004,-0.421239542,0.201409397,-0.500554133,1.135343313,0.294018177,-0.514748045,-0.21563366,-0.831162597,-0.763216114,0.573448288
ABQ_FY_S_03,20.59602673,4.089792628,-1.65247579,-3.424925432,-1.095000919,-5.804067379,1.732911757,-0.231912047,-0.313607953,-0.573149214,-0.945876309,1.222184942,-5.31506658,0.033251103,-0.187017695,0.247023411,0.890770088,-3.149070191,0.952891023,0.105617103,-0.995545989,-0.056931853,-0.233542572,2.029140792,-0.688128,0.317362913,-1.040670777,0.683609439,0.272952971,-0.209472632
BOU_FY_S_01,19.60917991,3.856250184,-1.603590476,-3.030643117,-1.055609107,-5.042287238,1.235820491,-0.157337256,-0.020757931,-0.418880846,-0.499360444,1.402028854,-6.122204503,-0.045358865,0.033188007,-0.113226902,0.826724569,-3.523504129,2.083007115,0.080513326,-0.126757456,-1.450961347,-0.552232363,2.260585775,0.63651856,0.982661793,-0.812610361,0.838633209,0.166871724,-0.0034923
BOU_FY_S_02,17.9849484,4.049508183,-2.053467776,-2.550558783,-1.09633953,-5.406102709,2.207580419,-0.151615556,-0.481134863,-0.372730685,-1.315768871,2.458352688,-8.008243334,0.275438249,-0.23398072,-0.079884545,0.524612697,-3.45116528,2.071109928,-0.352046419,-0.947116375,-1.060493713,-1.031649395,2.667734742,-0.377659469,1.067681789,-0.702969728,0.88960404,0.115540241,0.213454889
BOU_FY_S_03,18.76958518,4.326295231,-3.479790265,-4.076461605,-1.098723282,-6.507992889,4.85184561,3.675223624,0.329186436,0.426348635,2.490694688,-0.467382386,1.076789944,0.020111772,-0.003642323,-0.724302496,-1.175157539,4.334646916,-1.860829264,-0.162082094,1.348208299,-0.355081064,-0.03073619,-1.030135451,0.276848334,0.110621845,-0.100470814,1.772284313,0.487051482,0.13519128
LOG_FY_S_01,15.82431006,3.267767922,-0.46208117,-1.023929861,-0.474183278,4.801297465,-5.541616605,-5.707711541,0.037424824,-1.105266559,-6.612231278,0.591439534,1.71158451,0.710590825,-0.247396616,-7.995092978,-2.15890465,0.585912418,1.198982548,-2.87968889,0.249736219,1.015548724,0.338336724,0.172197142,1.952984385,2.037373643,-1.752932897,3.910924833,2.284400205,-1.834169331
LOG_FY_S_02,15.17833663,3.255622713,-0.425540758,-0.839089152,-0.526528912,4.644707117,-5.414096622,-5.315882338,0.667271936,-1.370375982,-6.046887074,-0.011138023,1.323829223,0.834933078,0.5364446,-7.075585868,-2.447571515,0.608585828,1.587655521,-3.686379025,1.0713409,0.118937032,0.725764243,-0.714596068,-2.025266992,-1.855692978,3.369875819,-8.531350184,-4.861567987,3.41730995
LOG_FY_S_03,16.30408684,3.493813958,-0.473926402,-0.987866188,-0.570196968,4.195121854,-5.400843788,-5.804698461,0.1694976,-1.721175029,-7.332414068,0.398470619,2.605853576,1.174827513,0.241796945,-5.569587022,-1.865312574,-0.052079143,2.515881799,-2.277448356,-0.206954272,0.199838656,1.412881769,-2.539638695,2.492971321,-1.214717959,-1.727931283,5.039723545,2.442125911,-1.32133017
MOB_FY_S_01,13.50369852,3.024036759,-0.431050823,-0.955540566,-0.524407641,3.442472081,-4.152194394,-4.279156365,0.039844571,-0.562949469,-5.733523019,-0.308921626,2.158458311,-0.24095991,-0.200441116,5.060222048,1.152837378,1.140591136,-2.150413745,1.630210465,1.228467018,-1.383724539,-1.073942814,-0.130837441,0.009543407,-0.754283803,0.554222368,-2.419030487,-0.244417456,0.66493011
MOB_FY_S_02,16.19084853,3.552459725,-0.850129115,-1.128591419,-0.670263569,3.92938629,-5.376985727,-5.868026956,0.205550367,-1.297646668,-8.426805129,-0.000406688,1.533814336,-0.459399082,-0.341616711,8.489026968,2.064701636,1.863518051,-2.871725923,2.49233397,0.709501267,-0.067608922,-1.720299479,0.235700669,-2.246854728,2.844882818,1.103623323,1.994724023,0.940283755,-0.08296451
MOB_FY_S_03,15.88660121,3.159913947,-0.618278348,-1.291033446,-0.617367775,4.107730358,-4.931137207,-5.797369463,-0.009843599,-1.637325581,-8.114920888,-0.363271238,2.974212114,0.531451112,0.20899728,6.445800705,1.587686915,1.436066162,-1.77072964,2.670591155,0.061412508,-0.075627065,0.322231075,1.574840715,0.108247055,-0.436386895,-1.350495036,-0.608292748,-1.025024197,0.027020506
RFY_FY_S_01,11.64050404,2.951001108,-0.064460846,0.43374871,-0.249898528,9.063772513,-7.543182299,-2.95014983,-0.163114879,1.183178866,6.048228216,0.359460255,-3.152844072,1.180064266,-1.057963429,2.469796223,1.210772646,-5.460087897,2.023633286,3.345314287,4.884953722,-4.423443618,4.071816246,-10.93995718,2.522485363,-4.023915357,1.219625237,-0.30814802,-0.039475931,-1.251039647
